*_*********꧁鑫҉磊҉直҉播҉源꧂*********_*
______      _               _  _          
| ___ \    | |             | || |         
| |_/ /___ | |_  _ __  ___ | || |_ __   __
|  __// _ \| __|| '__|/ _ \| || __|\ \ / /
| |  |  __/| |_ | |  |  __/| || |_  \ V / 
\_|   \___| \__||_|   \___||_| \__|  \_/  
//免费软件꙰严禁商业꙰仅供测试꙰违者自负!꙰//
//如果你抓包了获取到了直播源,请自用,别公开,谢谢！//

🔠央卫高清,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://goo.bkpcp.top/mg/cctv16
CCTV-17,http://goo.bkpcp.top/mg/cctv17
CCTV-4欧洲,http://goo.bkpcp.top/mg/cctv4o
CCTV-4美洲,http://goo.bkpcp.top/mg/cctv4m
CGTN-纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN-英语,http://goo.bkpcp.top/mg/cgtn
CGTN-西语,http://goo.bkpcp.top/mg/cgtne
CGTN-阿语,http://goo.bkpcp.top/mg/cgtna
CGTN-法语,http://goo.bkpcp.top/mg/cgtnf
CGTN-俄语,http://goo.bkpcp.top/mg/cgtnr
CHC家庭影院,http://goo.bkpcp.top/mg/jtyy
CHC动作电影,http://goo.bkpcp.top/mg/dzdy
CHC影迷电影,http://goo.bkpcp.top/mg/gqdy
欢笑剧场4K,http://goo.bkpcp.top/mg/hxjc
东方卫视,http://goo.bkpcp.top/mg/dfws
北京卫视,http://goo.bkpcp.top/mg/bjws
重庆卫视,http://goo.bkpcp.top/mg/cqws
吉林卫视,http://goo.bkpcp.top/mg/jlws
辽宁卫视,http://goo.bkpcp.top/mg/lnws
宁夏卫视,http://goo.bkpcp.top/mg/nxws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
山东卫视,http://goo.bkpcp.top/mg/sdws
湖北卫视,http://goo.bkpcp.top/mg/hubws
湖南卫视,http://goo.bkpcp.top/mg/hunws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
四川卫视,http://goo.bkpcp.top/mg/scws
新疆卫视,http://goo.bkpcp.top/mg/xjws
西藏卫视,http://goo.bkpcp.top/mg/xzws
海南卫视,http://goo.bkpcp.top/mg/hinws
海峡卫视,http://goo.bkpcp.top/mg/hxws
